re,1,16,10000,0.245539
r,1,16,10000,15.214798
re,1,16,10000,0.054950
r,1,16,10000,15.254501
re,1,16,10000,0.119420
r,1,16,10000,15.233708
re,1,16,10000,0.036430
r,1,16,10000,15.270041
re,1,16,10000,0.030370
r,1,16,10000,15.297135
re,2,16,10000,0.066830
r,2,16,10000,93.881827
re,2,16,10000,0.274588
r,2,16,10000,94.418980
re,2,16,10000,0.248412
r,2,16,10000,94.510120
re,2,16,10000,0.273354
r,2,16,10000,94.489794
re,2,16,10000,0.247157
r,2,16,10000,94.686547
re,4,16,10000,0.222528
r,4,16,10000,51.586752
re,4,16,10000,0.176908
r,4,16,10000,51.552151
re,4,16,10000,0.108926
r,4,16,10000,51.871975
re,4,16,10000,0.094109
r,4,16,10000,51.931618
re,4,16,10000,0.110547
r,4,16,10000,51.945249
re,6,16,10000,0.116442
r,6,16,10000,36.397913
re,6,16,10000,0.070443
r,6,16,10000,35.089317
re,6,16,10000,0.197273
r,6,16,10000,35.053830
re,6,16,10000,0.085861
r,6,16,10000,35.198868
re,6,16,10000,0.075158
r,6,16,10000,35.358238
re,8,16,10000,0.106090
r,8,16,10000,26.534858
re,8,16,10000,0.031782
r,8,16,10000,26.251599
re,8,16,10000,0.019545
r,8,16,10000,26.547677
re,8,16,10000,0.021154
r,8,16,10000,26.265987
re,8,16,10000,0.029073
r,8,16,10000,27.138265
re,1,16,20000,0.365079
r,1,16,20000,60.813279
re,1,16,20000,0.343370
r,1,16,20000,60.862155
re,1,16,20000,0.462668
r,1,16,20000,61.239645
re,1,16,20000,0.348058
r,1,16,20000,61.219379
re,1,16,20000,0.351835
r,1,16,20000,61.170563
re,2,16,20000,0.267296
r,2,16,20000,371.067634
re,2,16,20000,0.225875
r,2,16,20000,371.951910
re,2,16,20000,0.247990
r,2,16,20000,372.609959
re,2,16,20000,0.237875
r,2,16,20000,372.404076
re,2,16,20000,0.301442
r,2,16,20000,370.923689
re,4,16,20000,0.374239
r,4,16,20000,202.615053
re,4,16,20000,0.270369
r,4,16,20000,203.595302
re,4,16,20000,0.288499
r,4,16,20000,203.106395
re,4,16,20000,0.293710
r,4,16,20000,204.067497
re,4,16,20000,0.292692
r,4,16,20000,202.883748
re,6,16,20000,0.274917
r,6,16,20000,135.280867
re,6,16,20000,0.322400
r,6,16,20000,135.363815
re,6,16,20000,0.278427
r,6,16,20000,135.048183
re,6,16,20000,0.451672
r,6,16,20000,134.895022
re,6,16,20000,0.311924
r,6,16,20000,135.024417
re,8,16,20000,0.266825
r,8,16,20000,102.910646
re,8,16,20000,0.250294
r,8,16,20000,103.570317
re,8,16,20000,0.233649
r,8,16,20000,103.378062
re,8,16,20000,0.253125
r,8,16,20000,102.536200
re,8,16,20000,0.257655
r,8,16,20000,102.266540
