re,1,16,3000,0.024559
og,1,16,3000,0.003773
r,1,16,3000,37.923792
re,1,16,3000,0.039822
og,1,16,3000,0.003906
r,1,16,3000,37.764195
re,1,16,3000,0.056054
og,1,16,3000,0.004003
r,1,16,3000,37.979163
re,2,16,4242,0.014883
og,2,16,4242,0.034693
re,1,16,3000,0.020937
og,1,16,3000,0.003900
r,1,16,3000,37.916472
re,1,16,3000,0.013257
og,1,16,3000,0.003907
r,1,16,3000,37.814333
re,1,16,3000,0.011783
og,1,16,3000,0.003892
r,1,16,3000,37.808547
re,2,16,4242,0.017687
og,2,16,4242,0.032556
re,2,16,4242,0.072140
og,2,16,4242,0.032685
r,2,16,4242,447.455623
ig,2,16,4242,1765595.922230
re,2,16,4242,0.068739
og,2,16,4242,0.032228
re,4,16,6000,0.094579
og,4,16,6000,0.069645
r,4,16,6000,2620.202091
ig,4,16,6000,1769340.313603
re,4,16,6000,0.094991
og,4,16,6000,0.037756
r,4,16,6000,2400.231495
ig,4,16,6000,1771633.239659
re,4,16,6000,0.105988
og,4,16,6000,0.074499
